model,n_runs,n_folds,epochs,time,size,train-acc,acc,prec,sens,spec,f1
linGDlr0.1,5,22,500.0,2.55701208114624,,1.0,0.9984848484848484,1.0,0.996969696969697,1.0,0.9984825493171472
linSGDlr0.01bs12,1,22,390.0,4.060836791992188,,0.999278485774994,1.0,1.0,1.0,1.0,1.0
linAdam,1,22,499.0,2.196307182312012,,0.7857142090797424,0.7121212121212122,0.71875,0.696969696969697,0.7272727272727273,0.7076923076923077
linAdamLr0.001bs12,5,22,670.0,9.790518760681152,,1.0,0.9924242424242424,0.987987987987988,0.996969696969697,0.987878787878788,0.9924585218702866
linAdamlr0.01,1,22,400.0,1.8086025714874268,,1.0,0.9696969696969696,0.9696969696969696,0.9696969696969696,0.9696969696969696,0.9696969696969696
linRprop,5,22,75.0,0.523489773273468,,1.0,1.0,1.0,1.0,1.0,1.0
h30GD,1,22,799.0,3.597782850265503,,0.9880952835083008,0.9696969696969696,0.984375,0.9545454545454546,0.9848484848484848,0.9692307692307692
h30GDlr0.1,5,22,999.0,4.708343505859375,,1.0,0.9848484848484848,0.9878048780487804,0.9818181818181818,0.987878787878788,0.9848024316109424
h30GDlr0.001bs12,1,22,799.0,10.685842514038086,,0.9909812808036804,0.9696969696969696,0.984375,0.9545454545454546,0.9848484848484848,0.9692307692307692
h30AdamBs12,5,22,500.0,7.636065006256103,,1.0,0.9863636363636364,0.9791044776119404,0.993939393939394,0.9787878787878788,0.9864661654135338
h30AdamLr0.01,1,22,100.0,0.4901616275310516,,1.0,0.9696969696969696,0.9696969696969696,0.9696969696969696,0.9696969696969696,0.9696969696969696
hid30Rprop,5,22,110.0,0.6780639886856079,,1.0,0.9893939393939394,1.0,0.9787878787878788,1.0,0.9892802450229708
csp,5,22,100.0,0.022063352167606354,0.0,1.0,1.0,1.0,1.0,1.0,1.0
cspAdam,5,22,300.0,0.036834388971328735,0.0,1.0,0.9833333333333333,0.9848024316109423,0.9818181818181818,0.9848484848484849,0.9833080424886191
cspGD,5,22,750.0,0.10414902120828629,3.7272727489471436,1.0,0.9772727272727273,1.0,0.9545454545454546,1.0,0.9767441860465116
